name,full_address,postcode,council,town
"Porthkerry Country Park, Park Rd, Barry","Porthkerry Country Park, Park Rd, Barry CF62 3BY",CF62 3BY,Vale of Glamorgan,Barry
Bryngarw Country Park,"Bryngarw Country Park, Brynmenyn, Bridgend CF32 8UU",CF32 8UU,Bridgend,Garw Valley
Tintern Abbey,"Tintern Abbey, Tintern NP16 6SE ",NP16 6SE,Monmouthshire,Tintern
Mountain Ash,"Mountain Ash, CF45 4YG",CF45 4YG,Rhondda Cynon Taf,Abercynon
"Fonmon Castle, Barry, Vale of Glamorgan","Fonmon Castle, Barry, Vale of Glamorgan",CF62 3ZN,Vale of Glamorgan,Fonmon
Castell Coch,"Castell Coch, Cardiff CF15 7JS ",CF15 7JS,Cardiff,Cardiff
"Dyffryn House, St Nicholas, CF5 6SU","Dyffryn House, St Nicholas, CF5 6SU",CF5 6SU,Vale of Glamorgan,St. Nicholas
"Tredegar House, Pencarn Way, Newport, NP10 8YW ","Tredegar House, Pencarn Way, Newport, NP10 8YW ",NP10 8YW,Newport,Newport
St Fagans National Museum of History                         Fully Booked,"St. Fagans, National Museum of History                         Fully Booked, CF5 6XB",CF5 6XB,Cardiff,St. Fagans
"Barry Town Centre, Holton Road, Park Crescent, High Street & Goodsheds","Barry Town Centre, Holton Road, Park Crescent, High Street & Goodsheds, CF62 5TR",CF62 5TR,Vale of Glamorgan,Barry
"Barry, Goodsheds, Hood Road, Barry, CF62 5QU","Barry, Goodsheds, Hood Road, Barry, CF62 5QU",CF62 5QU,Vale of Glamorgan,Barry
"Llantwit Major Beach, Llantwit Major, CF61 1RF","Llantwit Major Beach, Llantwit Major, CF61 1RF",CF61 1RF,Vale of Glamorgan,Llantwit Major
"The Castle Green, Cardiff Castle, Castle Street, Cardiff, CF10 3RB","The Castle Green, Cardiff Castle, Castle Street, Cardiff, CF10 3RB",CF10 3RB,Cardiff,Cardiff
"Wales Millennium Centre, Bute Place, Cardiff, CF10 5AL","Wales Millennium Centre, Bute Place, Cardiff, CF10 5AL",CF10 5AL,Cardiff,Cardiff
"UWC Atlantic College, Llantwit Major, CF61 1WF, United Kingdom","St. Donat's Castle, UWC Atlantic College, CF61 1WF",CF61 1WF,Vale of Glamorgan,St. Donats
National Waterfront Museum                         Cancelled,"National Waterfront Museum, Oystermouth Rd, Maritime Quarter, Swansea SA1 3RD ",SA1 3RD ,Swansea,Swansea
"Rivermouth car park, Ogmore-by-Sea, CF32 0PB","Rivermouth car park, Ogmore-by-Sea, CF32 0PB",CF32 0PB,Vale of Glamorgan,Ogmore-by-Sea
"Turner House Plymouth Road, Penarth, CF64 3DH","Turner House, 12 Plymouth Rd, Penarth CF64 3DH",CF64 3DH,Vale of Glamorgan,Penarth
"West House Community Garden, Penarth, CF64 2YG","West House Community Garden, Penarth, CF64 2YG",CF64 2YG,Vale of Glamorgan,Penarth
