link,title,full_date,start_date,end_date,sort_date,month,location,location_search,info,name,favicon,root
https://museum.wales//whatson/digital/11775/Museum-Talks--Saturnalia-and-the-Roman-Origins-of-Christmas-and-its-Customs-/,Museum Talks:  Saturnalia And The Roman Origins Of Christmas And Its Customs ,"15 December 2022, 6 - 6:45pm",Thu 15 Dec,,2022-12-15,December,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,Why do many people decorate their homes with evergreens in the depths of winter?  Why does Brit...,St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//whatson/digital/11273/Open-Meeting-of-the-Board-of-Trustees/,Open Meeting Of The Board Of Trustees,"15 December 2022, 10.30am-1pm",Thu 15 Dec,,2022-12-15,December,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,Members of the public who are interested in Amgueddfa Cymru's work are invited to observe the&n...,St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//whatson/digital/11793/Museum-Talks-The-National-Collection-of-Art-as-a-Digital-Experience-/,Museum Talks: The National Collection Of Art As A Digital Experience ,"19 January 2023, 6:00pm",Thu 19 Jan,,2023-01-19,January,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"  Maddie Webb, Digital Art Documentation Curator,and Sara Treble-Parry, Project Administra...",St. Fagans National Museum of History,./static/images/st_fagans_favicon.svg,https://museum.wales/
https://museum.wales//whatson/digital/11773/Museum-Sleepover-Dino-Nights-AT-HOME/,Museum Sleepover: Dino Nights! AT HOME,"11 & 12 February 2023, 2pm - 10am",ERROR: invalid date string (month not found): 11 ,,,,,,,,,
https://www.visitthevale.com/events/swan-christmas-fayre,Swam Christmas Fayre,"November 19, 2022",Sat 19 Nov,Sun 20 Nov,2022-11-19,November,"St Athan, South Wales Aviation Museum, Hangar 872, Bro Tathan North, St Athan, CF62 4QR",St Athan  South Wales Aviation Museum  Hangar 872  Bro Tathan North  St Athan  CF62 4QR,"We all can't wait to welcome you to SWAM's Christmas fayre! We have over 40 fabulous stalls, so there will be a lovely variety of Christmas gifts available, all amongst our amazing planes!",Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com
https://www.visitthevale.com/events/penarth-christmas-lights-switch-on,Penarth Christmas Lights Switch On,"November 20, 2022",Sun 20 Nov,Sun 20 Nov,2022-11-20,November,Penarth Town Centre,Penarth Town Centre,"Penarth’s annual Christmas Lights Switch On takes place on Sunday 20th November, 2022.",Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com
https://www.visitthevale.com/events/barry-high-street-shopping-quarter,Barry High Street Shopping Quarter,"November 24, 2022",Thu 24 Nov,Sat 26 Nov,2022-11-24,November,Barry High Street,Barry High Street,"Barry High Street late night Christmas shopping & Christmas light switch on with entertainment, Santa’s grotto, food & drink and much more!",Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com
https://www.visitthevale.com/events/festive-wreathmaking-at-penarth-pavilion,Festive Wreathmaking At Penarth Pavilion,"November 30, 2022",Wed 30 Nov,Wed 07 Dec,2022-11-30,November,"Penarth Pier Pavilion, The Esplanade, Penarth",Penarth Pier Pavilion  The Esplanade  Penarth,Begin the build-up to Christmas making your own festive wreath in the iconic surroundings of Penarth Pier Pavilion.,Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com
https://www.visitthevale.com/events/christmas-experience-at-forage,Christmas Experience At Forage,"December 2, 2022",Fri 02 Dec,Fri 23 Dec,2022-12-02,December,"Vale of Glamorgan, Penllyn Estate, Llwynhelig, Cowbridge, Vale of Glamorgan, CF71 7FF",Vale of Glamorgan  Penllyn Estate  Llwynhelig  Cowbridge  Vale of Glamorgan  CF71 7FF,"With the festive season fast approaching, Forage, once again, presents to you its magical Christmas Experience!",Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com
https://www.visitthevale.com/events/festival-of-light,Festival Of Light,"December 2, 2022",Fri 02 Dec,Sun 11 Dec,2022-12-02,December,"Central Park, Barry, CF63 4RW",Central Park  Barry  CF63 4RW,"Back by popular demand, this year’s Festival of Light will be held over 10 days, and feature majestic mirror balls, a neon ribbon and animal trail, a light show, an enchanted fairy garden and more!‍",Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com
