link,name,favicon,root,address,events_container,events_container_attr,events_search,events_mode,events_url_type,title_method,title_tag,title_attr,title_attr_name,title_split,date_method,date_tag,date_attr,date_attr_name,date_indices,date_delimiters,date_connectors,address_method,address_tag,address_attr,address_attr_name,address_split,alt_address_method,alt_address_tag,alt_address_attr,alt_address_attr_name,atl_address_split,info_method,info_tag,info_attr,info_attr_name,info_split
https://awenboxoffice.com/whats-on,Awen Cultural Trust ,./static/images/awen_logo.ico,https://awenboxoffice.com/,no,,,/about,search,absolute,tag,h1,,,-999,tag,p,class,mb-3,-999,"-;&;,;\s",–;-;&,tag_attr,p,class,text-uppercase mb-0,-999,,,,,,tag_attr,div,class,mb-md-5 pt-lg-2,-999
https://www.mermaidquay.co.uk/whats-on/,Mermaid Quay Cardiff,./static/images/default.jpg,https://www.mermaidquay.co.uk,no,isotope-list,id,btn btn--blue,direct,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.llancaiachfawr.co.uk/en/whats-on/,Llancaiach Fawr Manor ,./static/images/llancaiach_seal.png,https://www.llancaiachfawr.co.uk/,"Llancaiach Fawr Manor, Nelson, Treharris, CF46 6ER",,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,
