Name,Address,short_location
THE MET ,"The Met, Abertillery, Mitre Street, Abertillery, Blaenau Gwent NP13 1AL",
Mountain Ash ,,
Lime Street Car Park,,
National Waterfront Museum,"National Waterfront Museum, Oystermouth Rd, Maritime Quarter, Swansea SA1 3RD ",NWMS 
St Fagans National Museum of History,"St Fagans, National Museum of History,Cardiff CF5 6XB",St Fagans
UWC Atlantic College St Donat's Castle,,St Donat's
