link,name,favicon,root,container,search,mode,url_type,title_method,title_tag,title_attr,title_attr_name,title_split,start_date_tag,start_date_attr,start_date_attr_name,start_date_split,end_date_tag,end_date_attr,end_date_attr_name,end_date_split,start_end_date_split,time_method,time_tag,time_attr,time_attr_name,time_split,start_end_time_split,address_method,address_tag,address_attr,address_attr_name,address_split,info_method,info_tag,info_attr,info_attr_name,info_split
https://www.visitthevale.com/events/,Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com ,,/events/,search,relative,tag,h1,,,-999,div,class,small-paragraph inline-text,0,div,class,small-paragraph inline-text,2,-999,,,,,,,tags_attr,div,class,small-paragraph no-margin,-999,meta,content,property,og:description,-999
https://cadw.gov.wales/visit/whats-on/find-a-cadw-event,Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ ,,teaser__link,direct,absolute,tag_attr,h1,class,banner__title,-999,div,class,banner__date,0,div,class,banner__date,0,-,tag_attr,div,class,banner__date,1,-,tag_attr,p,class,banner__subtitle,-999,meta,content,name,description,-999
https://www.cardiffcastle.com/events/,Cardiff Caste,https://www.cardiffcastle.com/app/uploads/2020/05/cardiff-castle-logo-small.png,https://www.cardiffcastle.com/ ,ajaxwrap,/events/,search,absolute,tag_attr,h1,class,singlewrap-title FadeIn,-999,p,class,eventdetail-text,0,p,class,eventdetail-text,0,-,tag_attr,p,class,eventdetail-text,1,-,tag_attr,p,class,eventdetail-text,-1,meta,content,property,og:description,-999
https://www.uwcatlanticexperience.com/event/,UWC Atlantic College,https://www.uwcatlanticexperience.com/wp-content/uploads/2022/02/cropped-UWC-Fav-Icon-U-32x32.png ,https://www.uwcatlanticexperience.com/ ,,eventbrite,search,absolute,tag_attr,h1,class,event-title,-999,p,class,date-and-time,0,p,class,date-and-time,0,-999,meta,meta,data-testid,event-start-date-tz,0,-,meta,value,name,twitter:data1,-999,tag_attr,p,class,summary,-999
