link,title,full_date,print_date,sort_date,month,location,location_search,info,name,favicon,root,max_date,dupl_count,end_date,update_date
http://www.margamcountrypark.co.uk//2128?event_id=36179,'Elf Me' Workshops,Sat 03 Dec 2022,Sat 03 Dec,2022-12-03,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"The ultimate Christmas experience which will transform YOU into a Margam Park Elf! Perfect for budding elves aged 3-12 years old who want to become official little helpers of Father Christmas. Expect fun, laughter, games, arts & crafts. Transform into a certified elf, complete with rosy red cheeks ready for Christmas action! The workshops are in Margam Castle (Drawing Room and Dining Room) and start at 9.15am, 11.30am and 1.45pm on each day of the deer feeds – ticket price includes watching Santa feed the Margam deer feed. -Please arrive 15 minutes before the session starts. -Parking for the 9.15 am session will be to the rear of the Castle (cars will not be able to leave until the Deer feed has finished and the all clear is given - approx 11.30) . -Parking for the 11.30 am and 1.45 pm sessions are in the main car park, disabled parking options are available. -The castle rooms can be chilly so dress up warm! Children £15, Adult £5 (to include a hot drink and a mince pie!).",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2022-12-18,18,Sun 18 Dec,18 Nov 2022 11:32
http://www.margamcountrypark.co.uk//2128?event_id=36177,'Elf Me' Workshops,Sat 03 Dec 2022,Sat 03 Dec,2022-12-03,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"The ultimate Christmas experience which will transform YOU into a Margam Park Elf! Perfect for budding elves aged 3-12 years old who want to become official little helpers of Father Christmas. Expect fun, laughter, games, arts & crafts. Transform into a certified elf, complete with rosy red cheeks ready for Christmas action! The workshops are in Margam Castle (Drawing Room & Dining Room) and start at 9.15am, 11.30am & 1.45pm on each day of the deer feeds – ticket price includes watching Santa feed the Margam deer feed. -Please arrive 15 minutes before the session starts. -Parking for the 9.15 am session will be to the rear of the Castle (cars will not be able to leave until the Deer feed has finished and the all clear is given - approx 11.30) . -Parking for the 11.30 am and 1.45 pm sessions are in the main car park, disabled parking options are available. -The castle rooms can be chilly so dress up warm! Children £15, Adult £5 (to include a hot drink and a mince pie!).",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2022-12-18,18,Sun 18 Dec,18 Nov 2022 11:32
http://www.margamcountrypark.co.uk//2128?event_id=36196,Santa Deer Feeds,Sat 03 Dec 2022,Sat 03 Dec,2022-12-03,,"Margam Country Park, Margam, Port Talbot, SA13 2TJ ",Margam Country Park  Margam  Port Talbot  SA13 2TJ ,"Come and see Santa feed the deer at 11am. Dress up for a winter walk in the Park after you have seen him. See Santa feeding his deer at 11.00am. The Deer Feed will start promptly at 11am, please make sure that you arrive at least half an hour before to ensure you are in place on the Castle terrace. Latecomers may not be admitted, the Management reserves the right to refuse admission. Blue Badge Holders—Please arrive prior to 10.30am to ensure access to disabled car parking facilities located at the back of the castle. All dogs to be kept on leads. Following the Deer Feed, visit the Children's Village, Adventure Playground and Farm Trail.",Margam Park,./static/images/margam_logo.png,http://www.margamcountrypark.co.uk/,2022-12-18,6,Sun 18 Dec,18 Nov 2022 11:32
https://museum.wales//stfagans/whatson/11425/Festive-Afternoon-Tea-for-Two-at-St-Fagans/,Festive Afternoon Tea For Two At St Fagans,"3–22 December 2022, 2pm-5pm",Sat 03 Dec – Thu 22 Dec,2022-12-03,,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"Enjoy a festive tea for two at the Museum. Enjoy a selection of sandwiches, festive savories and a s...",Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-12-03,1,,18 Nov 2022 11:32
https://museum.wales//cardiff/whatson/11693/Christmas-Botanical-Illustration/,Christmas Botanical Illustration,"3 December 2022, 10:30 - 4pm",Sat 03 Dec,2022-12-03,,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,This one-day course is a chance to try your hand at the art of botanical illustration with a Christm...,Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-12-03,1,,18 Nov 2022 11:32
https://museum.wales//swansea/whatson/11729/A-Big-Waterfront-Christmas/,A Big Waterfront Christmas,"3 December 2022, 12 - 4pm",Sat 03 Dec,2022-12-03,,"St. Fagans, Cardiff CF5 6DP",St. Fagans  Cardiff CF5 6DP,"Enjoy the perfect festive afternoon, with an extra flurry of seasonal sparkle …Featuring:&bul...",Museum Wales ,./static/images/st_fagans_favicon.svg,https://museum.wales/,2022-12-03,1,,18 Nov 2022 11:32
https://www.visitthevale.com/events/christmas-post-office,Christmas Post Office,"December 3, 2022/December 12, 2022",Sat 03 Dec - Mon 12 Dec,2022-12-03,,"Barry Library, 160 Kings Square, Barry, CF63 4RW",Barry Library  160 Kings Square  Barry  CF63 4RW,Visit Santa's Post Office with your child to write and send their Christmas letters.,Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com,2022-12-03,1,,18 Nov 2022 11:32
https://www.visitthevale.com/events/llantwit-major-christmas-parade,Llantwit Major Christmas Parade ,"December 3, 2022/December 3, 2022",Sat 03 Dec - Sat 03 Dec,2022-12-03,,Llantwit Major Town Centre,Llantwit Major Town Centre,Llantwit Major Christmas Parade and Christmas lights,Visit the Vale,https://global-uploads.webflow.com/6023f273f06914e9f46f193b/60509a2e9b7a8c2f25a0b4c7_Site%20Icon.png,https://www.visitthevale.com,2022-12-03,1,,18 Nov 2022 11:32
https://cadw.gov.wales/seasonal-scents-medieval-christmas-decoration-workshop,Seasonal Scents: Medieval Christmas Decoration Workshop,Sat 03 Dec                             - Sun 04 Dec 2022,Sat 03 Dec - Sun 04 Dec,2022-12-03,,Chepstow Castle,Chepstow Castle,Come and discover how people celebrated Christmas in Medieval times and the role that scents played. Learn which ingredients were local and which had travelled from afar. Learn their stories while you make a scented decoration to take home. This is a drop-in activity. Suitable for all ages. How to visit,Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ ,2022-12-03,1,,18 Nov 2022 11:32
https://cadw.gov.wales/santas-grotto-2,Santa's Grotto,Sat 03 Dec 2022,Sat 03 Dec,2022-12-03,,Blaenavon Ironworks,Blaenavon Ironworks,"Come and see Father Christmas or Mrs Christmas in our Victorian grotto at the Ironworks this Christmas - and make unique memories for the whole family!  English and Welsh sessions available: English sessions: 3, 4, 17 December Bilingual sessions: 18 December Father Christmas on 3, 4, 18 December Mrs Christmas on 17 December",Cadw,https://cadw.gov.wales/themes/custom/cadw/img/favicon/favicon.ico,https://cadw.gov.wales/ ,2022-12-10,2,Sat 10 Dec,18 Nov 2022 11:32
